                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0746,                 1.5546,                 1.5617,                0.53456,                0.41935,                0.46124,                0.17976,                 2.1185,                 1.7122,                 1.7004,               0.006634,               0.006634,               0.006634
                     36,                 2.1211,                 1.5695,                 1.5729,                0.70912,                0.66409,                0.73543,                0.29359,                 1.9185,                  1.347,                 1.5691,               0.006535,               0.006535,               0.006535
                     37,                 2.0835,                 1.5219,                 1.5596,                0.77449,                0.72628,                0.78149,                 0.3473,                 1.8182,                 1.4168,                 1.5064,               0.006436,               0.006436,               0.006436
                     38,                 2.0709,                 1.6423,                 1.5597,                0.61417,                 0.6595,                0.65256,                0.27843,                 1.7975,                 1.5123,                 1.5156,               0.006337,               0.006337,               0.006337
                     39,                 2.0206,                 1.5577,                  1.581,                 0.6172,                0.69892,                0.67646,                 0.2936,                 1.8164,                 1.4639,                 1.5249,               0.006238,               0.006238,               0.006238
                     40,                 2.0543,                 1.5036,                  1.538,                0.57082,                0.68171,                0.64155,                0.25776,                 1.8445,                 1.5494,                 1.5528,               0.006139,               0.006139,               0.006139
                     41,                 1.9511,                 1.4843,                 1.5234,                0.64275,                 0.6771,                0.69927,                0.30389,                 1.7831,                 1.3984,                 1.4897,                0.00604,                0.00604,                0.00604
                     42,                 1.9852,                 1.4293,                 1.5122,                0.61405,                0.57596,                  0.638,                0.27277,                 1.9578,                 1.5524,                 1.5853,               0.005941,               0.005941,               0.005941
                     43,                 1.9113,                 1.3823,                 1.4635,                0.50511,                 0.4552,                  0.504,                 0.1658,                 2.4701,                 1.6786,                 1.8574,               0.005842,               0.005842,               0.005842
                     44,                 1.9167,                 1.3643,                 1.4653,                0.67558,                0.62724,                0.71085,                0.31286,                 1.8613,                 1.4017,                 1.5231,               0.005743,               0.005743,               0.005743
                     45,                 1.9245,                 1.4011,                 1.4806,                0.76308,                0.75037,                0.80996,                0.33206,                 1.9575,                 1.2592,                 1.5979,               0.005644,               0.005644,               0.005644
                     46,                 1.9067,                 1.3624,                  1.438,                0.80295,                0.75627,                0.81333,                0.35119,                  1.801,                 1.2967,                 1.5087,               0.005545,               0.005545,               0.005545
                     47,                  1.928,                 1.4263,                 1.4883,                0.65943,                0.74257,                0.77057,                0.36005,                 1.7479,                 1.2671,                 1.4789,               0.005446,               0.005446,               0.005446
                     48,                  1.944,                 1.4444,                 1.4875,                0.78116,                0.75269,                0.82344,                0.36503,                 1.7771,                 1.2543,                 1.4806,               0.005347,               0.005347,               0.005347
                     49,                 1.9109,                   1.37,                 1.4543,                0.73381,                0.75986,                 0.7759,                0.37706,                 1.7142,                 1.2754,                 1.4691,               0.005248,               0.005248,               0.005248
                     50,                 1.8841,                 1.3806,                 1.4372,                0.75676,                0.69534,                0.78871,                0.34317,                 1.8522,                 1.2963,                 1.5369,               0.005149,               0.005149,               0.005149
